Priority (Assigned by MITRE/ATT&CK),Technique,Number of Mapped Controls,Controls
7,T1055.002,6,SI-3|AC-6|SI-2|SC-18|SC-7|SI-4
7,T1055.003,6,SI-3|AC-6|SI-2|SC-18|SC-7|SI-4
7,T1055.004,6,SI-3|AC-6|SI-2|SC-18|SC-7|SI-4
7,T1055.005,6,SI-3|AC-6|SI-2|SC-18|SC-7|SI-4
7,T1055.008,12,SI-3|AC-6|AC-5|AC-2|SI-2|CM-6|SC-18|CM-5|SC-7|IA-2|AC-3|SI-4
7,T1055.009,9,SI-16|AC-6|SI-3|SI-2|SC-18|SC-7|CA-7|AC-3|SI-4
7,T1055.011,6,SI-3|AC-6|SI-2|SC-18|SC-7|SI-4
7,T1055.012,6,SI-3|AC-6|SI-2|SC-18|SC-7|SI-4
7,T1055.013,6,SI-3|AC-6|SI-2|SC-18|SC-7|SI-4
7,T1055.014,6,SI-3|AC-6|SI-2|SC-18|SC-7|SI-4
8,T1036,11,SI-3|AC-6|CM-2|AC-2|CM-6|SI-7|CM-7|CA-7|AC-3|SI-10|SI-4
8,T1036.001,4,SI-7|CM-2|CM-6|SI-4
8,T1036.003,8,SI-3|AC-6|CM-2|AC-2|CM-6|CA-7|AC-3|SI-4
8,T1036.005,11,SI-3|AC-6|CM-2|AC-2|CM-6|SI-7|CM-7|CA-7|AC-3|SI-10|SI-4
8,T1036.007,6,CM-2|CM-6|CM-7|CA-7|IA-2|SI-4
9,T1021,12,AC-6|AC-20|AC-5|AC-2|AC-7|CM-6|CM-5|IA-2|AC-3|IA-5|AC-17|SI-4
9,T1021.001,22,IA-4|AC-2|CM-6|IA-6|AC-3|SI-4|AC-11|AC-6|CM-8|CM-2|SC-7|AC-12|IA-2|AC-17|AC-4|AC-20|AC-5|AC-7|CM-5|CM-7|RA-5|IA-5
9,T1021.002,15,AC-6|CM-2|AC-5|AC-2|CM-6|CM-5|CM-7|CA-7|SC-7|IA-2|AC-3|SI-10|AC-17|SI-4|AC-4
9,T1021.003,17,SI-3|AC-6|CM-8|CM-2|AC-5|RA-5|AC-2|CM-6|SC-18|CM-5|CM-7|SC-7|IA-2|AC-3|AC-17|SI-4|AC-4
9,T1021.004,15,AC-6|AC-20|CM-2|CM-8|AC-5|RA-5|AC-2|AC-7|CM-6|CM-5|IA-2|AC-3|IA-5|AC-17|SI-4
9,T1021.005,21,IA-4|AC-2|CM-6|IA-6|AC-3|SI-4|AC-6|CM-8|CM-2|SC-7|IA-2|AC-17|AC-4|SI-3|CM-5|CM-7|SI-10|CM-11|CM-3|RA-5|CA-7
9,T1021.006,15,AC-6|CM-8|CM-2|AC-5|RA-5|AC-2|CM-6|CM-5|CM-7|SC-7|IA-2|AC-3|AC-17|SI-4|AC-4
10,T1003,21,IA-4|AC-2|CM-6|SI-7|SC-28|AC-3|SI-4|AC-6|CP-9|CM-2|IA-2|AC-4|SI-3|SI-12|AC-5|CM-5|CM-7|SC-39|SI-2|CA-7|IA-5
10,T1003.001,18,SI-16|AC-6|SI-3|SC-39|CM-2|AC-5|AC-2|SI-2|CM-6|SC-28|CM-5|CM-7|CA-7|IA-2|AC-3|IA-5|SI-4|AC-4
10,T1003.002,15,SI-3|AC-6|SC-39|CM-2|AC-5|AC-2|CM-6|SC-28|CM-5|CM-7|CA-7|IA-2|AC-3|IA-5|SI-4
