Priority (Assigned by ATT&CK),Technique,Number of Mapped Controls (NIST 800-53)
70,T1137.006,5
86,T1127.001,5
115,T1580,5
117,T1201,5
125,T1129,5
4,T1574.006,4
6,T1562.003,4
6,T1562.010,4
8,T1036.001,4
11,T1218.010,4
11,T1218.011,4
14,T1027.002,4
22,T1552.003,4
36,T1560,4
36,T1560.001,4
87,T1606.001,4
108,T1200,4
119,T1011,4
12,T1548.001,3
41,T1546,3
41,T1546.009,3
42,T1555,3
42,T1555.001,3
42,T1555.002,3
58,T1556.002,3
84,T1550.004,3
85,T1087,3
85,T1087.001,3
85,T1087.002,3
87,T1606.002,3
97,T1567.001,3
97,T1567.002,3
111,T1135,3
4,T1574.011,2
19,T1112,2
41,T1546.011,2
81,T1037.001,2
15,T1090.004,1
123,T1535,1
