Control,Number of ATT&CK Techniques & Sub-Techniques Mapped,Related CIS Controls,Techniques
IA-2,156,CIS-6,T1550|T1525|T1110|T1003.001|T1003.006|T1546.003|T1110.004|T1542.005|T1556|T1098.003|T1210|T1505.004|T1552.007|T1558|T1003|T1569.001|T1114.002|T1530|T1543|T1562.008|T1003.002|T1110.003|T1558.001|T1611|T1110.002|T1072|T1213|T1056.003|T1059.001|T1548.003|T1569.002|T1542.001|T1574.005|T1543.002|T1021.002|T1021.004|T1599|T1110.001|T1134.003|T1218.007|T1601|T1528|T1548.002|T1213.001|T1558.002|T1021.001|T1574.010|T1021.003|T1578|T1136|T1619|T1613|T1078.004|T1053.005|T1578.001|T1053.007|T1562.006|T1055.008|T1610|T1036.007|T1550.003|T1562.007|T1047|T1053.002|T1053.001|T1558.004|T1134.001|T1552.006|T1059.008|T1078.003|T1505|T1563.002|T1021|T1542.003|T1562.001|T1569|T1053.003|T1213.003|T1562|T1040|T1218|T1087.004|T1601.001|T1185|T1543.001|T1136.003|T1222.001|T1559.001|T1053.006|T1055|T1133|T1548|T1222.002|T1495|T1562.004|T1136.001|T1556.003|T1190|T1543.004|T1552.001|T1601.002|T1599.001|T1222|T1003.005|T1003.007|T1136.002|T1134.002|T1547.012|T1111|T1558.003|T1021.005|T1574|T1114|T1134|T1539|T1098.001|T1505.002|T1098.002|T1003.008|T1053|T1547.009|T1489|T1550.002|T1563.001|T1556.001|T1021.006|T1552.002|T1197|T1555.005|T1059|T1078|T1213.002|T1003.004|T1552.004|T1543.003|T1550.001|T1484|T1552|T1580|T1547.004|T1547.006|T1556.004|T1578.002|T1578.003|T1538|T1563|T1003.003|T1547.013|T1562.009|T1574.012|T1559|T1098|T1562.002|T1078.002|T1537|T1542
AC-5,153,CIS-3|CIS-6,T1550|T1525|T1110|T1003.001|T1003.006|T1546.003|T1110.004|T1542.005|T1556|T1098.003|T1210|T1505.003|T1558|T1552.007|T1003|T1569.001|T1530|T1543|T1562.008|T1574.009|T1003.002|T1110.003|T1558.001|T1574.007|T1611|T1110.002|T1072|T1213|T1056.003|T1059.001|T1548.003|T1070|T1569.002|T1542.001|T1574.005|T1543.002|T1021.002|T1021.004|T1599|T1110.001|T1134.003|T1218.007|T1601|T1528|T1548.002|T1213.001|T1558.002|T1021.001|T1574.004|T1574.010|T1021.003|T1578|T1136|T1619|T1078.004|T1053.005|T1578.001|T1053.007|T1562.006|T1055.008|T1562.007|T1550.003|T1047|T1053.002|T1053.001|T1134.001|T1552.006|T1059.008|T1078.003|T1505|T1563.002|T1021|T1542.003|T1562.001|T1569|T1053.003|T1213.003|T1562|T1218|T1574.008|T1134.005|T1087.004|T1601.001|T1185|T1543.001|T1136.003|T1222.001|T1559.001|T1053.006|T1055|T1548|T1222.002|T1495|T1562.004|T1136.001|T1556.003|T1190|T1543.004|T1552.001|T1601.002|T1599.001|T1222|T1003.005|T1003.007|T1136.002|T1134.002|T1547.012|T1558.003|T1574|T1134|T1078.001|T1098.001|T1505.002|T1098.002|T1003.008|T1606|T1053|T1547.009|T1489|T1550.002|T1563.001|T1556.001|T1021.006|T1552.002|T1197|T1059|T1078|T1213.002|T1003.004|T1543.003|T1484|T1552|T1580|T1547.004|T1547.006|T1556.004|T1070.001|T1578.002|T1538|T1563|T1578.003|T1003.003|T1547.013|T1562.009|T1574.012|T1559|T1070.003|T1098|T1562.002|T1078.002|T1070.002|T1537|T1542
CM-5,143,,T1550|T1525|T1003.001|T1003.006|T1546.003|T1547.003|T1542.005|T1556|T1098.003|T1210|T1553|T1558|T1552.007|T1547.007|T1003|T1569.001|T1530|T1543|T1562.008|T1003.002|T1558.001|T1564.008|T1611|T1072|T1213|T1056.003|T1059.001|T1548.003|T1569.002|T1542.001|T1574.005|T1543.002|T1021.002|T1021.004|T1599|T1134.003|T1218.007|T1601|T1528|T1548.002|T1213.001|T1558.002|T1021.001|T1574.010|T1021.003|T1578|T1136|T1619|T1078.004|T1053.005|T1578.001|T1053.007|T1562.006|T1547.011|T1055.008|T1562.007|T1550.003|T1047|T1053.002|T1053.001|T1134.001|T1059.008|T1078.003|T1505|T1563.002|T1542.003|T1021|T1562.001|T1569|T1053.003|T1562|T1218|T1059.006|T1553.006|T1601.001|T1185|T1543.001|T1136.003|T1222.001|T1559.001|T1053.006|T1055|T1548|T1222.002|T1542.004|T1495|T1562.004|T1136.001|T1556.003|T1190|T1543.004|T1601.002|T1599.001|T1222|T1003.005|T1003.007|T1136.002|T1134.002|T1547.012|T1558.003|T1021.005|T1574|T1134|T1098.001|T1505.002|T1574.011|T1098.002|T1003.008|T1053|T1547.009|T1489|T1137.002|T1176|T1550.002|T1563.001|T1556.001|T1021.006|T1552.002|T1197|T1059|T1078|T1213.002|T1003.004|T1543.003|T1484|T1552|T1547.004|T1547.006|T1556.004|T1578.002|T1578.003|T1563|T1195.003|T1003.003|T1547.013|T1562.009|T1574.012|T1559|T1098|T1562.002|T1078.002|T1537|T1542
SC-7,143,CIS-4|CIS-9|CIS-12|CIS-13,T1498.001|T1218.012|T1055.009|T1542.005|T1565.001|T1204.001|T1090.002|T1132.002|T1210|T1071.003|T1567.001|T1055.011|T1482|T1505.004|T1552.007|T1498.002|T1499.003|T1566.001|T1602|T1559.002|T1041|T1530|T1560.001|T1499|T1573.002|T1611|T1105|T1499.001|T1205.001|T1568.002|T1072|T1612|T1565|T1021.002|T1599|T1199|T1221|T1102.003|T1557|T1001.003|T1102.002|T1104|T1090.003|T1021.001|T1001.001|T1080|T1021.003|T1219|T1136|T1613|T1573|T1552.005|T1071.004|T1055.008|T1557.001|T1566.002|T1610|T1567.002|T1568|T1565.003|T1566|T1048|T1602.001|T1563.002|T1048.003|T1114.003|T1573.001|T1609|T1055.002|T1567|T1602.002|T1212|T1498|T1001.002|T1090|T1048.001|T1136.003|T1203|T1559.001|T1055|T1133|T1598|T1090.001|T1542.004|T1566.003|T1046|T1008|T1187|T1001|T1190|T1552.001|T1599.001|T1055.001|T1205|T1136.002|T1570|T1055.012|T1021.005|T1020.001|T1189|T1598.002|T1211|T1055.013|T1114|T1055.005|T1098.001|T1598.003|T1029|T1557.002|T1489|T1560|T1176|T1021.006|T1132.001|T1068|T1197|T1095|T1552.004|T1055.003|T1571|T1055.004|T1552|T1499.002|T1598.001|T1071.001|T1102|T1204|T1204.002|T1071.002|T1055.014|T1132|T1563|T1030|T1071|T1572|T1559|T1098|T1048.002|T1499.004|T1102.001|T1537|T1204.003|T1542
AC-4,141,CIS-3,T1498.001|T1218.012|T1003.001|T1003.006|T1547.003|T1204.001|T1090.002|T1132.002|T1210|T1071.003|T1567.001|T1482|T1505.004|T1552.007|T1003|T1498.002|T1499.003|T1566.001|T1602|T1559.002|T1041|T1114.002|T1530|T1574.009|T1499|T1573.002|T1574.007|T1564.008|T1105|T1499.001|T1205.001|T1611|T1568.002|T1072|T1213|T1565|T1574.005|T1021.002|T1599|T1199|T1601|T1528|T1102.003|T1213.001|T1557|T1001.003|T1102.002|T1104|T1090.003|T1021.001|T1574.004|T1001.001|T1574.010|T1021.003|T1219|T1136|T1573|T1552.005|T1071.004|T1557.001|T1566.002|T1567.002|T1568|T1565.003|T1566|T1048|T1602.001|T1563.002|T1048.003|T1114.003|T1573.001|T1114.001|T1574.008|T1567|T1602.002|T1134.005|T1212|T1498|T1001.002|T1601.001|T1090|T1048.001|T1136.003|T1203|T1559.001|T1133|T1598|T1090.001|T1566.003|T1046|T1008|T1187|T1001|T1190|T1552.001|T1601.002|T1599.001|T1205|T1003.005|T1136.002|T1570|T1021.005|T1020.001|T1189|T1574|T1598.002|T1211|T1114|T1098.001|T1598.003|T1029|T1557.002|T1489|T1021.006|T1132.001|T1068|T1197|T1095|T1213.002|T1571|T1484|T1552|T1499.002|T1598.001|T1071.001|T1102|T1204|T1204.002|T1071.002|T1132|T1563|T1030|T1071|T1572|T1559|T1098|T1048.002|T1499.004|T1102.001|T1537|T1204.003
RA-5,102,CIS-7|CIS-16,T1218.012|T1011.001|T1525|T1218.014|T1542.005|T1210|T1052|T1127.001|T1505.003|T1482|T1505.004|T1547.007|T1559.002|T1530|T1059.007|T1543|T1574.009|T1560.001|T1195|T1574.007|T1213|T1612|T1059.001|T1548.003|T1218.009|T1574.005|T1021.004|T1137|T1221|T1528|T1548.002|T1213.001|T1557|T1574.001|T1195.002|T1021.001|T1574.004|T1574.010|T1021.003|T1578|T1562.010|T1053.005|T1578.001|T1218.004|T1047|T1053.002|T1053.001|T1052.001|T1558.004|T1546.002|T1552.006|T1059.005|T1505|T1563.002|T1505.001|T1218.008|T1053.003|T1213.003|T1562|T1218|T1574.008|T1212|T1137.001|T1133|T1091|T1548|T1542.004|T1046|T1190|T1552.001|T1218.005|T1218.003|T1021.005|T1574|T1211|T1505.002|T1218.013|T1053|T1560|T1176|T1563.001|T1021.006|T1552.002|T1068|T1059|T1078|T1213.002|T1546.014|T1195.001|T1552.004|T1484|T1547.008|T1552|T1547.006|T1092|T1578.002|T1578.003|T1563|T1559|T1098.004|T1127|T1204.003
SI-10,92,,T1216|T1498.001|T1218.012|T1218.014|T1553.005|T1553|T1059.003|T1546.006|T1498.002|T1499.003|T1602|T1220|T1530|T1059.007|T1574.009|T1499|T1129|T1574.007|T1499.001|T1059.001|T1218.009|T1021.002|T1599|T1221|T1557|T1574.001|T1090.003|T1216.001|T1080|T1219|T1218.001|T1552.005|T1071.004|T1557.001|T1564.006|T1564.009|T1218.004|T1546.002|T1048|T1059.005|T1059.008|T1602.001|T1048.003|T1059.004|T1218.008|T1218.002|T1609|T1218|T1059.002|T1059.006|T1574.008|T1602.002|T1498|T1546.008|T1546.010|T1090|T1546.009|T1048.001|T1187|T1190|T1599.001|T1570|T1218.005|T1218.003|T1021.005|T1574|T1218.010|T1036.005|T1218.013|T1564.003|T1557.002|T1176|T1218.011|T1553.003|T1197|T1095|T1059|T1574.006|T1552|T1499.002|T1204|T1547.004|T1547.006|T1204.002|T1574.012|T1572|T1036|T1048.002|T1499.004|T1127|T1553.001|T1537
CM-8,91,CIS-1|CIS-2|CIS-6|CIS-12|CIS-16,T1218.012|T1011.001|T1218.014|T1542.005|T1565.001|T1210|T1052|T1127.001|T1553|T1505.004|T1546.006|T1547.007|T1602|T1559.002|T1530|T1059.007|T1574.009|T1565.002|T1574.007|T1072|T1213|T1119|T1059.001|T1565|T1542.001|T1218.009|T1021.004|T1137|T1221|T1601|T1213.001|T1557|T1021.001|T1574.004|T1021.003|T1053.005|T1548.004|T1557.001|T1564.006|T1218.004|T1053.002|T1052.001|T1546.002|T1059.005|T1505|T1602.001|T1563.002|T1542.003|T1505.001|T1218.008|T1218|T1574.008|T1602.002|T1212|T1553.006|T1137.001|T1601.001|T1203|T1133|T1091|T1548|T1542.004|T1046|T1495|T1190|T1601.002|T1218.005|T1218.003|T1021.005|T1020.001|T1189|T1574|T1211|T1505.002|T1218.013|T1557.002|T1053|T1563.001|T1021.006|T1068|T1059|T1213.002|T1546.014|T1564.007|T1092|T1563|T1195.003|T1559|T1098.004|T1127|T1542
SI-2,73,CIS-7|CIS-16,T1601|T1211|T1055.013|T1059.006|T1055.005|T1548.002|T1525|T1106|T1212|T1137.005|T1003.001|T1055.009|T1542.005|T1553.006|T1606|T1204.001|T1210|T1546.010|T1550.002|T1553|T1601.001|T1055.011|T1195.002|T1546.006|T1068|T1003|T1555.005|T1027.002|T1059|T1566.001|T1559.002|T1195.001|T1027|T1606.001|T1055|T1055.003|T1055.004|T1055.008|T1552|T1204|T1542.004|T1195|T1047|T1495|T1547.006|T1566.003|T1574.002|T1611|T1055.014|T1072|T1137.004|T1195.003|T1546.011|T1566|T1059.001|T1190|T1574|T1601.002|T1552.006|T1542.001|T1059.005|T1137.003|T1559|T1055.001|T1542.003|T1137|T1055.012|T1204.003|T1542|T1213.003|T1189|T1055.002|T1221
AC-17,71,CIS-3|CIS-12|CIS-13,T1040|T1059.002|T1114|T1059.006|T1602.002|T1213.001|T1547.003|T1557|T1557.002|T1565.001|T1547.009|T1137.002|T1563.001|T1558.002|T1021.006|T1059.003|T1021.001|T1505.004|T1552.002|T1552.007|T1558|T1021.003|T1059|T1213.002|T1219|T1602|T1037|T1619|T1613|T1552.004|T1550.001|T1114.002|T1530|T1059.007|T1133|T1543|T1547.011|T1037.001|T1552|T1610|T1547.004|T1565.002|T1047|T1070.001|T1213|T1563|T1612|T1119|T1059.001|T1021.005|T1558.004|T1547.013|T1070|T1565|T1059.005|T1059.008|T1537|T1602.001|T1563.002|T1114.003|T1558.003|T1021|T1021.002|T1021.004|T1114.001|T1059.004|T1070.002|T1137|T1547.012|T1020.001|T1609
IA-5,62,CIS-3|CIS-4|CIS-5|CIS-6,T1040|T1601|T1114|T1528|T1539|T1098.001|T1555.001|T1110|T1003.001|T1003.006|T1098.002|T1110.004|T1003.008|T1556|T1098.003|T1563.001|T1556.001|T1558.002|T1601.001|T1021.001|T1552.002|T1558|T1003|T1555.005|T1555.002|T1078|T1136|T1003.004|T1552.004|T1136.003|T1078.004|T1114.002|T1530|T1133|T1552|T1550.003|T1003.002|T1110.003|T1555|T1558.001|T1556.004|T1110.002|T1072|T1136.001|T1556.003|T1003.003|T1552.001|T1558.004|T1601.002|T1552.006|T1555.004|T1599.001|T1558.003|T1003.005|T1003.007|T1021|T1021.004|T1078.002|T1110.001|T1136.002|T1111|T1599
AC-20,55,CIS-4|CIS-15,T1114|T1539|T1098.001|T1567|T1602.002|T1134.005|T1110|T1098.002|T1110.004|T1557|T1557.002|T1556|T1565.001|T1098.003|T1052|T1567.001|T1556.001|T1021.001|T1136|T1602|T1041|T1136.003|T1078.004|T1550.001|T1114.002|T1530|T1552.004|T1133|T1552.005|T1552|T1110.003|T1565.002|T1567.002|T1556.004|T1110.002|T1072|T1136.001|T1052.001|T1556.003|T1119|T1565|T1048|T1602.001|T1048.002|T1048.003|T1114.003|T1136.002|T1021|T1021.004|T1078.002|T1110.001|T1114.001|T1537|T1020.001|T1200
SC-28,40,CIS-3|CIS-11,T1025|T1078.001|T1567|T1602.002|T1213.001|T1005|T1003.001|T1003.006|T1552.003|T1003.008|T1565.001|T1052|T1552.002|T1003|T1078|T1213.002|T1602|T1003.004|T1041|T1552.004|T1078.004|T1550.001|T1530|T1552|T1003.002|T1565.003|T1052.001|T1213|T1003.003|T1552.001|T1565|T1048|T1078.003|T1599.001|T1602.001|T1048.002|T1048.003|T1003.005|T1003.007|T1599
SC-18,37,CIS-9,T1211|T1055.013|T1055.005|T1212|T1137.005|T1055.009|T1210|T1137.002|T1137.001|T1055.011|T1068|T1021.003|T1059|T1559.002|T1203|T1559.001|T1059.007|T1055.003|T1055|T1218.001|T1548.004|T1055.004|T1055.008|T1548|T1611|T1055.014|T1137.004|T1190|T1059.005|T1137.003|T1559|T1055.001|T1137|T1055.012|T1189|T1055.002|T1137.006
SI-16,34,CIS-10,T1218|T1059.002|T1059.006|T1218.012|T1218.013|T1003.001|T1055.009|T1218.014|T1218.003|T1565.001|T1059.003|T1505.004|T1059|T1059.007|T1218.001|T1543|T1548.004|T1548|T1547.004|T1218.004|T1047|T1547.006|T1611|T1565.003|T1059.001|T1565|T1059.005|T1059.008|T1218.009|T1543.002|T1059.004|T1218.005|T1218.008|T1218.002
IA-4,33,CIS-6,T1528|T1602.002|T1213.001|T1110|T1003.006|T1110.004|T1053|T1021.001|T1003|T1578|T1213.002|T1602|T1550.001|T1530|T1053.005|T1578.001|T1543|T1552.005|T1552|T1110.003|T1547.006|T1053.002|T1110.002|T1578.002|T1578.003|T1213|T1563|T1602.001|T1003.005|T1110.001|T1537|T1021.005|T1562
CM-11,32,CIS-2|CIS-9,T1218|T1059.006|T1218.012|T1505.002|T1218.013|T1218.014|T1218.003|T1176|T1195.002|T1505.004|T1543.001|T1059|T1569.001|T1195.001|T1543.003|T1550.001|T1218.001|T1543|T1564.009|T1195|T1218.004|T1021.005|T1543.004|T1547.013|T1218.009|T1505|T1543.002|T1218.005|T1505.001|T1218.008|T1569|T1218.002
SA-11,32,CIS-16,T1601|T1528|T1078.001|T1505.002|T1134.005|T1542.005|T1553.006|T1553|T1601.001|T1505.004|T1552.002|T1078|T1552.004|T1078.004|T1547.011|T1552|T1542.004|T1495|T1574.002|T1195.003|T1612|T1558.004|T1552.001|T1601.002|T1552.006|T1542.001|T1078.003|T1505|T1542.003|T1505.001|T1542|T1213.003
SI-12,30,CIS-3,T1040|T1114|T1602.002|T1557|T1557.002|T1565.001|T1558.002|T1558|T1003|T1602|T1552.004|T1550.001|T1530|T1114.002|T1548.004|T1552|T1548|T1565.002|T1070.001|T1119|T1003.003|T1558.004|T1565|T1070|T1602.001|T1114.003|T1114.001|T1070.002|T1558.003|T1020.001
AC-19,26,CIS-4|CIS-6,T1040|T1114|T1602.002|T1557|T1557.002|T1565.001|T1558.002|T1558|T1602|T1552.004|T1550.001|T1530|T1114.002|T1552|T1565.002|T1070.001|T1119|T1558.004|T1565|T1070|T1602.001|T1114.003|T1114.001|T1070.002|T1558.003|T1020.001
SC-4,26,CIS-3,T1040|T1602.002|T1557|T1557.002|T1565.001|T1558.002|T1552.002|T1558|T1080|T1602|T1552.004|T1530|T1552|T1564.009|T1565.002|T1070.001|T1565.003|T1558.004|T1119|T1552.001|T1565|T1070|T1602.001|T1070.002|T1558.003|T1020.001
CM-3,24,,T1601|T1059.006|T1213.001|T1542.005|T1553.006|T1176|T1553|T1601.001|T1547.007|T1213.002|T1543|T1547.011|T1542.004|T1564.008|T1495|T1213|T1195.003|T1021.005|T1601.002|T1547.013|T1542.001|T1543.002|T1542.003|T1542
SA-10,24,CIS-4,T1601|T1078.001|T1505.002|T1542.005|T1553.006|T1553|T1601.001|T1505.004|T1078|T1078.004|T1547.011|T1564.009|T1542.004|T1495|T1574.002|T1195.003|T1601.002|T1542.001|T1078.003|T1505|T1542.003|T1505.001|T1542|T1213.003
AC-18,23,CIS-4|CIS-12,T1040|T1011.001|T1602.002|T1557|T1557.002|T1565.001|T1558.002|T1558|T1602|T1552.004|T1530|T1552|T1565.002|T1011|T1070.001|T1558.004|T1119|T1565|T1070|T1602.001|T1070.002|T1558.003|T1020.001
SC-39,22,CIS-4,T1211|T1212|T1003.001|T1003.006|T1003.008|T1556|T1210|T1556.001|T1068|T1003|T1003.004|T1203|T1547.002|T1547.008|T1003.002|T1611|T1003.003|T1190|T1547.005|T1003.005|T1003.007|T1189
CP-9,20,CIS-11,T1025|T1561|T1005|T1491|T1486|T1565.001|T1003|T1070.001|T1561.002|T1490|T1565.003|T1119|T1003.003|T1565|T1070|T1561.001|T1491.002|T1485|T1070.002|T1491.001
IA-8,20,CIS-6,T1528|T1213.001|T1542.005|T1053|T1210|T1087.004|T1059|T1213.002|T1530|T1053.007|T1547.006|T1538|T1213|T1190|T1059.001|T1542.001|T1059.008|T1542.003|T1537|T1542
SI-8,20,CIS-9,T1598.003|T1137.005|T1137.006|T1204.001|T1137.002|T1137.001|T1566.001|T1598|T1566.002|T1598.001|T1204|T1566.003|T1204.002|T1137.004|T1566|T1137.003|T1137|T1204.003|T1598.002|T1221
SA-8,19,CIS-4|CIS-12|CIS-16,T1025|T1078.001|T1567|T1134.005|T1005|T1052|T1482|T1078|T1041|T1078.004|T1547.011|T1574.002|T1052.001|T1190|T1048|T1078.003|T1048.002|T1048.003|T1213.003
SC-23,17,CIS-12,T1573|T1071.003|T1562.009|T1563.001|T1071.004|T1562.006|T1557.001|T1573.002|T1185|T1535|T1071.001|T1573.001|T1557|T1071.002|T1550.004|T1557.002|T1071
AC-7,16,CIS-4,T1133|T1556.001|T1021.001|T1110|T1110.003|T1021|T1021.004|T1078.002|T1110.001|T1110.002|T1110.004|T1556|T1556.004|T1556.003|T1078.004|T1530
CP-7,15,CIS-12,T1565|T1070|T1561.001|T1561|T1490|T1491|T1491.002|T1491.001|T1485|T1070.001|T1070.002|T1486|T1561.002|T1565.001|T1119
SC-8,15,CIS-3,T1040|T1562.009|T1562.006|T1557.001|T1602.002|T1552.007|T1602.001|T1090|T1090.004|T1557|T1550.004|T1557.002|T1602|T1020.001|T1550.001
SC-20,14,CIS-4,T1071.003|T1553.004|T1071.004|T1598|T1598.002|T1598.003|T1566.002|T1071.001|T1568|T1071.002|T1566.001|T1568.002|T1566|T1071
SA-15,13,CIS-16,T1552.006|T1528|T1078.001|T1078.003|T1552|T1552.002|T1574.002|T1078|T1552.004|T1078.004|T1558.004|T1552.001|T1213.003
IA-7,12,,T1601|T1553|T1542.001|T1601.001|T1542.004|T1495|T1542.003|T1542.005|T1553.006|T1195.003|T1542|T1601.002
RA-9,12,,T1601|T1553|T1542.001|T1601.001|T1542.004|T1495|T1542.003|T1542.005|T1553.006|T1195.003|T1542|T1601.002
SR-6,12,CIS-15,T1059.002|T1601|T1505.002|T1601.001|T1505|T1505.004|T1546.006|T1078|T1505.001|T1204.003|T1554|T1601.002
CP-10,11,CIS-11,T1565|T1561.001|T1561|T1490|T1491|T1491.002|T1485|T1486|T1561.002|T1491.001|T1565.001
SR-11,11,CIS-16,T1059.002|T1601|T1505.002|T1601.001|T1505|T1505.004|T1546.006|T1505.001|T1204.003|T1554|T1601.002
SR-5,11,CIS-15,T1059.002|T1601|T1505.002|T1601.001|T1505|T1505.004|T1546.006|T1505.001|T1204.003|T1554|T1601.002
SC-12,10,,T1573|T1563.001|T1573.002|T1552|T1552.002|T1573.001|T1098.004|T1072|T1552.004|T1552.001
CM-10,9,CIS-2|CIS-9,T1546.013|T1553|T1553.004|T1562.006|T1559|T1562.009|T1546.008|T1559.002|T1550.001
CP-2,9,CIS-11,T1561.001|T1561|T1490|T1491|T1491.002|T1485|T1486|T1561.002|T1491.001
IA-6,8,,T1021.001|T1578|T1578.002|T1578.003|T1563|T1021.005|T1530|T1578.001
SC-2,8,,T1211|T1189|T1212|T1068|T1611|T1203|T1210|T1190
CP-6,7,CIS-11|CIS-12,T1565|T1070|T1486|T1070.001|T1070.002|T1565.001|T1119
IA-3,7,,T1552.005|T1552|T1602.002|T1602.001|T1602|T1537|T1530
SC-21,7,CIS-4,T1071.003|T1071.004|T1071.001|T1568|T1071.002|T1568.002|T1071
SC-22,7,CIS-4,T1071.003|T1071.004|T1071.001|T1568|T1071.002|T1568.002|T1071
CA-3,6,,T1048|T1567|T1048.002|T1048.003|T1041|T1020.001
MP-7,6,CIS-3|CIS-10,T1025|T1091|T1092|T1052.001|T1200|T1052
SA-22,6,CIS-2,T1543|T1195.002|T1195|T1543.002|T1195.001|T1189
SA-3,6,CIS-4|CIS-16,T1078.001|T1078.003|T1574.002|T1078|T1078.004|T1213.003
SA-4,6,CIS-15,T1078.001|T1078.003|T1134.005|T1574.002|T1078|T1078.004
CA-2,5,,T1195.002|T1195|T1195.001|T1210|T1190
IA-11,5,,T1110.003|T1110|T1110.004|T1110.002|T1110.001
SA-9,5,CIS-15,T1048|T1567|T1048.002|T1048.003|T1041
SC-10,5,,T1071.003|T1071.004|T1071.001|T1071.002|T1071
AC-12,4,CIS-4,T1563.002|T1021.001|T1185|T1072
IA-12,4,,T1078|T1078.002|T1078.004|T1078.003
SC-13,4,,T1041|T1025|T1005|T1048.003
SI-5,4,,T1211|T1212|T1210|T1068
AC-21,3,CIS-15,T1213|T1213.002|T1213.001
AC-11,2,CIS-4,T1021.001|T1563.002
CM-12,2,CIS-3,T1025|T1005
SC-17,2,,T1606|T1072
AC-14,1,,T1137.002
AC-8,1,,T1199
IR-5,1,CIS-17,T1564.008
